Sentence,Word,AoA,New,New AoA
"Antelope spotted some juicy red apples, while Anteater found some sweet honeycomb.",WHILE,7.06,and,4.57
"The hiker continued his journey, while the bushy greenish creature scampered back into the woods in search of more food to munch on.",CREATURE,7.32,animal,2.89
"Once upon a time, there was a little 3-year-old girl named Molly who wanted to explore the world.",EXPLORE,7.06,see,3.06
Morris was always fascinated by his surroundings and wanted to explore every corner of his jungle home.,SURROUNDINGS,7.28,world,5.32
Tommy climbed up the cliff and looked around.,CLIFF,7.28,rock,3.22
He searched around until he found a feathery quill and some ink.,QUILL,9.04,pen,5.11
She was an adventurous girl who loved to explore the world around her.,EXPLORE,7.06,travel,5.9
"One day, while practicing his moves, he noticed a cobweb in the corner of the room.",WHILE,7.06,when,4.24
"She felt warm and happy, even though it was cold outside.",THOUGH,7.32,if,5.36
"One day, while they were walking along the beach, Timmy found a small bookmark lying in the sand.",WHILE,7.06,when,4.24
"It was a strange sight, but the townspeople soon figured out what was happening.",TOWNSPEOPLE,7.94,people,3.52
"As she paddled, Kaylee could hear the songbird singing a cheerful melody.",CHEERFUL,7.68,happy,2.72
"One day, Andy decided to take a daring adventure and go skydiving from the top of the anthill.",DARING,9.11,brave,6
"From that day on, Timmy continued to explore new places and try new things.",EXPLORE,7.06,see,3.06
"One night, while walking in a moonlit meadow, Ella heard a strange, jaunty tune playing in the distance.",WHILE,7.06,when,4.24
"One day, while he was out on his morning jog, he stumbled upon a cowbell lying on the ground.",WHILE,7.06,when,4.24
Everyone admired their unique look and the lifeboat and the blue jean were the envy of all their ocean friends.,UNIQUE,8.63,special,5
"Lilliput was a small, curious creature who loved to explore and find hidden treasures.",EXPLORE,7.06,adventure,5.67
Morris was always fascinated by his surroundings and wanted to explore every corner of his jungle home.,EXPLORE,7.06,see,3.06
"He continued to perform in the circus, wowing audiences with his acrobatic skills and banjo playing.",ACROBATIC,9.38,gymnastics,7.74
"Moley was amazed at the beautiful drawings, and he wished he could create something as beautiful as the tumbleweed.",CREATE,7.1,make,4.68
"One day, as Anna was walking along the beach, she saw a strange object in a nearby cave.",OBJECT,7.94,thing,4.58
"She wanted to explore it, so her parents agreed.",EXPLORE,7.06,see,3.06
"One day, while he was searching for cheese, Speck stumbled upon a big, scary cat.",WHILE,7.06,when,4.24
She loved to perform daring stunts high up in the sky.,DARING,9.11,brave,6
"One day, she decided to take a trip on a ferryboat to explore a nearby island.",EXPLORE,7.06,see,3.06
"She decided to stay and explore a little longer, and soon she found a large bushy tree with a hollow in the trunk.",HOLLOW,7.44,hole,5.05
"But most of all, she remembered the joy and excitement of discovering something new and unexpected.",EXCITEMENT,7.2,fun,3.67
"She marveled at the size and height of the building, and was so glad that she had taken the chance to come and see it.",CHANCE,7.78,time,5.16
He loved to explore the world and see what he could find.,EXPLORE,7.06,travel,5.9
She walked around the village and suddenly heard a strange sound.,SUDDENLY,7.38,then,6.74
"From that day on, Timmy knew that he loved to explore and discover new things.",EXPLORE,7.06,adventure,5.67
She was so surprised and excited to find such a little creature in the snow.,CREATURE,7.32,animal,2.89
"From that day on, Lily made sure to appreciate all the little things in life, just like the chalky almond she found on the ground.",APPRECIATE,8.8,enjoy,5.75
The cow was very grateful and mooed happily.,GRATEFUL,7.42,thankful,5.5
Puffy loved to explore the forest and all the creatures that lived there.,EXPLORE,7.06,see,3.06
Once upon a time there was a little girl named Kaylee who loved to explore the world around her.,EXPLORE,7.06,see,3.06
Lizzie was delighted and couldn't believe her eyes.,DELIGHTED,8.11,happy,2.72
She just smiled and nodded her head.,JUST,7.01,only,4.95
Max was happy to share his talent with them and felt grateful for the peaceful moment in the woods.,MOMENT,7.95,time,5.16
"When the sun finally set, they returned to the ferryboat and began their journey home.",JOURNEY,7.67,trip,4.22
"One day, while exploring a glacier, Lily found a beautiful earring lying on the ice.",WHILE,7.06,when,4.24
"Once upon a time, there were two siblings, a brother and a sister, who decided to explore the world together.",EXPLORE,7.06,see,3.06
"After a while, the children decided to make some foamy while they were at the park.",WHILE,7.06,bit,6.47
"Curious, Lily made her way towards the dome and discovered that it was actually a giant bubble!",ACTUALLY,7.33,really,5.94
"As she went back inside to warm up by the fireplace, Lily realized that even though the world outside was cold and frosty, her home was warm and cozy.",THOUGH,7.32,if,5.36
She had a beautiful pink tutu that she wore every time she practiced her ballet moves.,BALLET,7.21,dance,4.63
"Once upon a time, there was a little girl named Lily who loved to receive packages in the mail.",RECEIVE,8.11,get,3.17
"Nelly continued to explore the forest, always looking for new adventures and new friends to meet.",EXPLORE,7.06,visit,5.79
Max was fascinated by the little creature and decided to follow it.,CREATURE,7.32,animal,2.89
"They were very close, always playing together in their cozy home.",COZY,9.17,comfy,6.06
"One day, Sally was strolling down the street and came across an old wooden door with a big, brass doorknocker in the middle.",BRASS,9.05,metal,5.61
He had a cozy little cottage with a fireplace in the corner.,COZY,9.17,comfy,6.06
"One day, while he was napping, he heard a strange noise.",WHILE,7.06,when,4.24
They were so cute that Lily couldn't resist joining in the fun.,RESIST,9.28,help,3.65
Lily felt so happy and grateful for her wonderful friends and the magical night they had shared.,GRATEFUL,7.42,thankful,5.5
"Once upon a time, there lived a magical creature who lived in an undersea kingdom.",CREATURE,7.32,animal,2.89
She was thrilled by her discovery and spent the rest of the day exploring the cave.,DISCOVERY,7.84,find,5.78
"One day, while Lily was playing outside, she heard a loud noise.",WHILE,7.06,when,4.24
"She continued on her adventure, feeling grateful for the little crumbly piece of bread that had saved her from hunger.",GRATEFUL,7.42,thankful,5.5
"As they worked, the lady told Lily about how she wanted to expand her baking business but was having trouble finding customers.",BUSINESS,7.47,shop,5.78
He would take care of it and cherish it forever.,CHERISH,8.9,love,5.17
"As she got closer, she noticed that the billboard was actually a sign for a new restaurant.",ACTUALLY,7.33,really,5.94
"One day, while out for a stroll in the woods, Harry stumbled upon a very strange statue.",WHILE,7.06,when,4.24
"On the way home, he promised himself that he would come back and explore more often.",EXPLORE,7.06,adventure,5.67
He thought it would be a nice souvenir from his hike.,SOUVENIR,8,reminder,7.5
The puppy's family was so grateful to Lily for bringing their lost puppy back.,GRATEFUL,7.42,thankful,5.5
The dumbbell opened up to reveal a wrinkly old man with a big smile on his face.,REVEAL,9.47,show,6.21
"""Those are lovely flowers,"" he said.",LOVELY,7.26,pretty,4.09
She even saw a majestic castle with a drawbridge that was guarded by two fierce dragons.,MAJESTIC,10.72,fancy,7.17
"She was fascinated by the magical creatures living in the undersea, and she wanted to explore the depths of the unique world.",EXPLORE,7.06,see,3.06
She couldn't wait to come back and explore more of its wonders.,EXPLORE,7.06,see,3.06
Abigail smiled with pride knowing that her creations had been used to create something so beautiful.,PRIDE,8.95,joy,6.74
